DATETIME,DUID,PERIODID,LOCAL_PRICE_ADJUSTMENT,LOCALLY_CONSTRAINED
2025/08/13 10:30:00,ARWF1,42.0,-46.53,2.0
2025/08/13 11:00:00,ARWF1,43.0,-28.5,2.0
2025/08/13 11:30:00,ARWF1,44.0,-23.99,2.0
2025/08/13 12:00:00,ARWF1,45.0,-5.98,2.0
2025/08/12 14:00:00,BANGOWF1,1.0,-106.44,2.0
2025/08/12 14:30:00,BANGOWF1,2.0,-5.83,1.0
2025/08/12 15:00:00,BANGOWF1,3.0,-5.83,1.0
2025/08/12 15:30:00,BANGOWF1,4.0,-6.63,1.0
2025/08/12 14:00:00,BANGOWF2,1.0,-107.06,2.0
2025/08/12 14:30:00,BANGOWF2,2.0,-5.86,1.0
2025/08/12 15:00:00,BANGOWF2,3.0,-5.86,1.0
2025/08/12 15:30:00,BANGOWF2,4.0,-6.67,1.0
2025/08/13 10:30:00,BANN1,42.0,-378.29,2.0
2025/08/13 11:00:00,BANN1,43.0,-231.68,2.0
2025/08/13 11:30:00,BANN1,44.0,-195.02,2.0
2025/08/13 12:00:00,BANN1,45.0,-48.61,2.0
2025/08/12 15:30:00,BASTYAN,4.0,-20.71,1.0
2025/08/13 06:00:00,BASTYAN,33.0,-341.05,1.0
2025/08/14 04:00:00,BASTYAN,77.0,-0.02,1.0
2025/08/13 06:00:00,BBTHREE1,33.0,-78.88,1.0
2025/08/13 06:00:00,BBTHREE2,33.0,-78.88,1.0
2025/08/13 06:00:00,BBTHREE3,33.0,-78.88,1.0
2025/08/12 14:00:00,BERYLSF1,1.0,-112.3,2.0
2025/08/12 14:30:00,BERYLSF1,2.0,-6.09,1.0
2025/08/12 15:00:00,BERYLSF1,3.0,-6.09,1.0
2025/08/12 15:30:00,BERYLSF1,4.0,-6.93,1.0
2025/08/12 14:00:00,BHB1,1.0,28.89,2.0
2025/08/12 14:30:00,BHB1,2.0,19.63,2.0
2025/08/12 15:00:00,BHB1,3.0,2.65,2.0
2025/08/12 16:00:00,BHB1,5.0,77.96,2.0
2025/08/12 16:30:00,BHB1,6.0,84.36,2.0
2025/08/12 17:00:00,BHB1,7.0,110.72,2.0
2025/08/12 17:30:00,BHB1,8.0,32.1,2.0
2025/08/12 18:00:00,BHB1,9.0,107.94,2.0
2025/08/12 18:30:00,BHB1,10.0,4.04,2.0
2025/08/12 19:00:00,BHB1,11.0,114.44,2.0
2025/08/12 19:30:00,BHB1,12.0,1.33,2.0
2025/08/12 21:00:00,BHB1,15.0,18.07,2.0
2025/08/12 21:30:00,BHB1,16.0,94.76,2.0
2025/08/12 22:00:00,BHB1,17.0,53.0,2.0
2025/08/12 22:30:00,BHB1,18.0,47.22,2.0
2025/08/12 23:00:00,BHB1,19.0,53.07,2.0
2025/08/12 23:30:00,BHB1,20.0,49.66,2.0
2025/08/13 00:00:00,BHB1,21.0,10.2,2.0
2025/08/13 00:30:00,BHB1,22.0,93.13,2.0
2025/08/13 01:00:00,BHB1,23.0,112.76,2.0
2025/08/13 01:30:00,BHB1,24.0,85.87,2.0
2025/08/13 02:00:00,BHB1,25.0,63.56,2.0
2025/08/13 02:30:00,BHB1,26.0,85.76,2.0
2025/08/13 03:00:00,BHB1,27.0,67.93,2.0
2025/08/13 03:30:00,BHB1,28.0,96.06,2.0
2025/08/13 04:00:00,BHB1,29.0,87.37,2.0
