iter	RMSE
0	134.2430332
1	131.6232656
2	129.2855369
3	126.6387513
4	123.4715386
5	121.2267236
6	118.8219634
7	116.8521413
8	114.7657205
9	112.5325797
10	110.4751692
11	108.4721697
12	106.4810818
13	104.5416688
14	102.8724725
15	101.0262353
16	99.54805136
17	97.90826953
18	96.2082133
19	94.75591625
20	93.08033551
21	91.57469567
22	90.21836425
23	88.70181119
24	87.39054858
25	86.30468619
26	85.18444944
27	83.90343518
28	82.92219725
29	81.76614785
30	80.68753693
31	79.51724707
32	78.46816617
33	77.45572933
34	76.48188905
35	75.47689525
36	74.48332889
37	73.60714575
38	72.86404629
39	71.75546503
40	70.73993183
41	69.77749901
42	68.98082874
43	68.06822315
44	67.1639266
45	66.42276746
46	65.64177345
47	65.13022613
48	64.36402776
49	63.66397213
50	62.90939997
51	62.25750528
52	61.6165221
53	61.00014592
54	60.34796835
55	59.69996427
56	59.26563386
57	58.49439652
58	57.5033244
59	57.195806
60	56.47635737
61	55.80968329
62	55.15482161
63	54.48469847
64	53.93976624
65	53.33486186
66	52.75079165
67	52.34739903
68	51.74947682
69	51.02848701
70	50.27676221
71	49.58134391
72	48.855344
73	48.33641395
74	47.89628041
75	47.50588701
76	47.1238449
77	46.51181492
78	45.96102293
79	45.53469792
80	44.94992843
81	44.3836255
82	43.88355106
83	43.36434698
84	42.96167135
85	42.56931255
86	42.02369605
87	41.55660768
88	41.17201547
89	40.62273822
90	40.23832971
91	39.80745563
92	39.39904251
93	39.06800862
94	38.65229635
95	38.27929627
96	37.76316356
97	37.26836877
98	36.95460416
99	36.48827094
100	36.17319857
101	35.87648234
102	35.40325418
103	35.1331821
104	34.83575952
105	34.44544837
106	34.07999296
107	33.64112186
108	33.37853723
109	33.08688913
110	32.7504859
111	32.43158004
112	32.18972268
113	31.84487344
114	31.52580415
115	31.17571379
116	30.87642035
117	30.49196317
118	30.16748756
119	29.83089127
120	29.61083031
121	29.33029923
122	28.98809576
123	28.65135467
124	28.33414891
125	28.0947978
126	27.81517667
127	27.50420809
128	27.24966167
129	26.96227407
130	26.70198921
131	26.39426007
132	26.19485
133	25.92146694
134	25.71520299
135	25.47206905
136	25.14330486
137	24.92263818
138	24.69250978
139	24.44389392
140	24.20317132
141	23.92898425
142	23.69712926
143	23.3830326
144	23.15464598
145	22.91660691
146	22.67114136
147	22.44133766
148	22.23521537
149	22.07623175
150	21.92797964
151	21.68757426
152	21.51965929
153	21.28607557
154	21.13984915
155	20.91241936
156	20.68941554
157	20.55347065
158	20.3360889
159	20.20390778
160	19.90226728
161	19.77446144
162	19.48028327
163	19.35671595
164	19.07063615
165	18.86957157
166	18.58503391
167	18.30174036
168	18.18627946
169	17.91170467
170	17.7997864
171	17.53163694
172	17.42315919
173	17.16117464
174	16.90442468
175	16.80063645
176	16.5491151
177	16.30692626
178	16.06436873
179	15.9661975
180	15.72884079
181	15.63375839
182	15.40192588
183	15.1546459
184	14.93049718
185	14.82331574
186	14.60426655
187	14.50013104
188	14.28610154
189	14.07595959
190	13.99163221
191	13.78522532
192	13.66488784
193	13.46437375
194	13.34735835
195	13.15364475
196	12.98116416
197	12.86872759
198	12.68240189
199	12.52304467
