iter	Passed	Remaining
0	1	228
1	2	227
2	3	231
3	4	235
4	5	209
5	6	214
6	7	214
7	9	237
8	11	236
9	12	229
10	12	220
11	13	208
12	14	203
13	15	199
14	15	192
15	16	185
16	16	178
17	17	172
18	17	167
19	18	162
20	18	157
21	19	153
22	19	150
23	19	146
24	20	143
25	20	140
26	21	137
27	22	135
28	22	132
29	22	130
30	24	133
31	25	131
32	25	129
33	26	127
34	26	125
35	27	123
36	27	122
37	28	121
38	29	121
39	29	119
40	30	118
41	31	116
42	31	115
43	32	113
44	32	111
45	32	109
46	33	108
47	33	107
48	34	105
49	34	104
50	35	103
51	35	102
52	36	100
53	36	99
54	37	98
55	37	96
56	39	99
57	40	98
58	40	97
59	41	95
60	41	94
61	42	95
62	44	95
63	45	96
64	46	96
65	47	96
66	48	95
67	49	95
68	50	96
69	57	106
70	60	110
71	61	109
72	61	107
73	62	106
74	63	105
75	63	103
76	64	102
77	64	101
78	65	99
79	65	98
80	66	97
81	66	96
82	67	94
83	67	93
84	68	92
85	69	92
86	70	91
87	70	89
88	71	88
89	71	87
90	72	86
91	72	85
92	73	84
93	74	83
94	74	82
95	75	81
96	76	80
97	76	79
98	77	78
99	77	77
100	78	76
101	78	75
102	78	74
103	79	73
104	80	72
105	80	71
106	81	70
107	81	69
108	82	68
109	82	67
110	83	66
111	83	65
112	84	64
113	84	64
114	85	63
115	86	62
116	86	61
117	87	60
118	88	60
119	90	60
120	91	59
121	92	59
122	93	58
123	95	58
124	97	58
125	98	57
126	98	56
127	100	56
128	101	55
129	101	54
130	102	53
131	102	53
132	103	52
133	103	51
134	104	50
135	105	49
136	105	48
137	106	47
138	106	46
139	107	45
140	107	45
141	108	44
142	108	43
143	109	42
144	110	42
145	111	41
146	112	40
147	112	39
148	113	38
149	114	38
150	114	37
151	115	36
152	116	35
153	116	34
154	117	33
155	117	33
156	118	32
157	118	31
158	119	30
159	120	30
160	122	29
161	124	29
162	125	28
163	125	27
164	126	26
165	127	26
166	127	25
167	128	24
168	128	23
169	129	22
170	130	22
171	131	21
172	132	20
173	133	19
174	135	19
175	136	18
176	137	17
177	139	17
178	141	16
179	142	15
180	143	15
181	146	14
182	147	13
183	147	12
184	148	12
185	148	11
186	149	10
187	149	9
188	150	8
189	150	7
190	151	7
191	151	6
192	152	5
193	152	4
194	153	3
195	154	3
196	155	2
197	156	1
198	156	0
199	157	0
